"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"0.01 uF";;;
2;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"10 uF";;;
3;"D1,D2,D3";"LED_D5.0mm_Clear";3;"YELLOW";;;
4;"D4,D5,D6,D7,D8,D9";"LED_D5.0mm_Clear";6;"RED";;;
5;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
6;"RV1";"CT6EP504";1;"R_Potentiometer_US";;;
7;"U1";"555";1;"555";;;
8;"U2";"4017";1;"4017";;;
9;"REF**";"BallOrnament";1;"BallOrnament";;;
10;"R9,R7,R3,R8,R5,R2,R6,R10,R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";9;"100";;;
11;"REF**";"UCSB_IEEE_Logo";1;"UCSB_IEEE_Logo";;;
12;"BT1";"CR2025TR";1;"Battery_Cell";;;
13;"SW1";"EG1218";1;"EG1218";;;
