"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D6,D7,D5,D8,D9,D4";"IN-S63AT";6;"RED";;;
2;"RV1";"CT6EP504";1;"50K";;;
3;"D3,D2,D1";"IN-S63AT";3;"YELLOW";;;
4;"R4,R9,R3,R10,R7,R6,R5,R8,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";9;"100";;;
5;"U2";"4017";1;"4017";;;
6;"REF**";"UCSB_IEEE_Logo";1;"UCSB_IEEE_Logo";;;
7;"SW1";"EG1218";1;"EG1218";;;
8;"REF**";"Snowflake";1;"Snowflake";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
10;"U1";"555";1;"555";;;
11;"BT1";"CR2025TR";1;"Battery_Cell";;;
12;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"0.01 uF";;;
13;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"10 uF";;;
